TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency
13162.0,8.5,1.87999999523163,0.550000011920929,6.05999994277954,25.0,13.0,328.0,728.0,1985.0,1.0,327.0,346.0,94.50867052023122
10735.0,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,21.0,19.0,217.0,776.0,1797.0,2.0,384.0,407.0,94.34889434889435
9762.0,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,29.0,34.0,209.0,726.0,1745.0,1.0,412.0,442.0,93.21266968325791
12669.0,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,36.0,10.0,221.0,773.0,1863.0,2.0,340.0,367.0,92.64305177111717
9705.0,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,38.0,20.0,164.0,539.0,1728.0,1.0,700.0,712.0,98.31460674157303
15506.0,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,50.0,31.0,264.0,775.0,2035.0,1.0,304.0,320.0,95.0
10544.0,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,28.0,12.0,205.0,818.0,1786.0,1.0,360.0,377.0,95.49071618037135
9819.0,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,19.0,8.0,211.0,838.0,1775.0,1.0,325.0,364.0,89.28571428571429
14371.0,9.03999996185303,2.80999994277954,0.870000004768372,5.3600001335144,41.0,21.0,262.0,732.0,1949.0,1.0,361.0,384.0,94.01041666666666
10039.0,6.40999984741211,2.92000007629395,0.209999993443489,3.27999997138977,39.0,5.0,238.0,709.0,1788.0,1.0,430.0,449.0,95.7683741648107
15355.0,9.80000019073486,5.28999996185303,0.569999992847443,3.94000005722046,73.0,14.0,216.0,814.0,2013.0,1.0,277.0,323.0,85.75851393188854
13755.0,8.78999996185303,2.32999992370605,0.920000016689301,5.53999996185303,31.0,23.0,279.0,833.0,1970.0,1.0,245.0,274.0,89.41605839416059
13154.0,8.52999973297119,3.53999996185303,1.1599999666214,3.78999996185303,48.0,28.0,189.0,782.0,1898.0,1.0,366.0,393.0,93.12977099236642
11181.0,7.15000009536743,1.05999994277954,0.5,5.57999992370605,16.0,12.0,243.0,815.0,1837.0,1.0,341.0,354.0,96.32768361581921
14673.0,9.25,3.55999994277954,1.41999995708466,4.26999998092651,52.0,34.0,217.0,712.0,1947.0,1.0,404.0,425.0,95.05882352941177
10602.0,6.80999994277954,2.28999996185303,1.60000002384186,2.92000007629395,33.0,35.0,246.0,730.0,1820.0,1.0,369.0,396.0,93.18181818181817
14727.0,9.71000003814697,3.21000003814697,0.569999992847443,5.92000007629395,41.0,15.0,277.0,798.0,2004.0,1.0,277.0,309.0,89.64401294498381
15103.0,9.65999984741211,3.73000001907349,1.04999995231628,4.88000011444092,50.0,24.0,254.0,816.0,1990.0,1.0,273.0,296.0,92.22972972972973
14070.0,8.89999961853027,2.92000007629395,1.08000004291534,4.88000011444092,45.0,24.0,250.0,857.0,1959.0,1.0,247.0,264.0,93.56060606060606
12159.0,8.02999973297119,1.97000002861023,0.25,5.80999994277954,24.0,6.0,289.0,754.0,1896.0,1.0,334.0,367.0,91.00817438692098
11992.0,7.71000003814697,2.46000003814697,2.11999988555908,3.13000011444092,37.0,46.0,175.0,833.0,1821.0,1.0,331.0,349.0,94.84240687679083
10060.0,6.57999992370605,3.52999997138977,0.319999992847443,2.73000001907349,44.0,8.0,203.0,574.0,1740.0,1.0,594.0,611.0,97.21767594108019
12022.0,7.71999979019165,3.45000004768372,0.529999971389771,3.74000000953674,46.0,11.0,206.0,835.0,1819.0,1.0,338.0,342.0,98.83040935672514
12207.0,7.76999998092651,3.34999990463257,1.1599999666214,3.25999999046326,46.0,31.0,214.0,746.0,1859.0,1.0,383.0,403.0,95.03722084367246
12770.0,8.13000011444092,2.55999994277954,1.00999999046326,4.55000019073486,36.0,23.0,251.0,669.0,1783.0,1.0,285.0,306.0,93.13725490196079
3176.0,2.30999994277954,0.0,0.0,2.30999994277954,0.0,0.0,120.0,1193.0,2498.0,1.0,119.0,127.0,93.7007874015748
18213.0,13.2399997711182,0.629999995231628,3.14000010490417,9.46000003814697,9.0,71.0,402.0,816.0,3846.0,1.0,124.0,142.0,87.32394366197182
3758.0,2.73000001907349,0.0700000002980232,0.310000002384186,2.34999990463257,1.0,7.0,148.0,682.0,2580.0,1.0,796.0,961.0,82.83038501560874
6724.0,4.8899998664856,0.0,0.0,4.88000011444092,0.0,0.0,295.0,991.0,2987.0,1.0,137.0,154.0,88.96103896103897
3844.0,2.53999996185303,0.0,0.0,2.53999996185303,0.0,0.0,176.0,527.0,1725.0,1.0,644.0,961.0,67.01352757544224
4014.0,2.67000007629395,0.0,0.0,2.65000009536743,0.0,0.0,184.0,218.0,1763.0,1.0,722.0,961.0,75.13007284079085
2573.0,1.70000004768372,0.0,0.259999990463257,1.45000004768372,0.0,7.0,75.0,585.0,1541.0,1.0,590.0,961.0,61.39438085327783
678.0,0.469999998807907,0.0,0.0,0.469999998807907,0.0,0.0,55.0,734.0,2220.0,3.0,750.0,775.0,96.7741935483871
356.0,0.25,0.0,0.0,0.25,0.0,0.0,32.0,986.0,2151.0,1.0,398.0,422.0,94.3127962085308
980.0,0.680000007152557,0.0,0.0,0.680000007152557,0.0,0.0,51.0,941.0,2221.0,2.0,475.0,499.0,95.19038076152304
3761.0,2.59999990463257,0.0,0.0,2.59999990463257,0.0,0.0,192.0,1058.0,2638.0,1.0,296.0,315.0,93.96825396825396
1675.0,1.1599999666214,0.0,0.0,1.1599999666214,0.0,0.0,95.0,1167.0,2351.0,1.0,166.0,178.0,93.25842696629213
4414.0,2.74000000953674,0.189999997615814,0.349999994039536,2.20000004768372,3.0,8.0,181.0,706.0,1459.0,1.0,503.0,546.0,92.12454212454212
4993.0,3.09999990463257,0.0,0.0,3.09999990463257,0.0,0.0,238.0,663.0,1521.0,1.0,531.0,565.0,93.98230088495575
3335.0,2.0699999332428,0.0,0.0,2.04999995231628,0.0,0.0,197.0,653.0,1431.0,1.0,545.0,568.0,95.95070422535211
3821.0,2.36999988555908,0.0,0.0,2.36999988555908,0.0,0.0,188.0,687.0,1444.0,1.0,523.0,573.0,91.2739965095986
2547.0,1.58000004291534,0.0,0.0,1.58000004291534,0.0,0.0,150.0,728.0,1373.0,1.0,524.0,567.0,92.41622574955908
838.0,0.519999980926514,0.0,0.0,0.519999980926514,0.0,0.0,60.0,1053.0,1214.0,1.0,437.0,498.0,87.75100401606426
2424.0,1.5,0.0,0.0,1.5,0.0,0.0,141.0,785.0,1356.0,1.0,498.0,540.0,92.22222222222223
7222.0,4.48000001907349,0.0,0.0,4.48000001907349,0.0,0.0,327.0,623.0,1667.0,1.0,461.0,510.0,90.3921568627451
2467.0,1.52999997138977,0.0,0.0,1.52999997138977,0.0,0.0,153.0,749.0,1370.0,1.0,477.0,514.0,92.80155642023347
2915.0,1.80999994277954,0.0,0.0,1.80999994277954,0.0,0.0,162.0,712.0,1399.0,1.0,520.0,545.0,95.41284403669725
12357.0,7.71000003814697,0.0,0.0,7.71000003814697,0.0,0.0,432.0,458.0,1916.0,1.0,522.0,554.0,94.22382671480143
3490.0,2.16000008583069,0.0,0.0,2.16000008583069,0.0,0.0,164.0,704.0,1401.0,1.0,555.0,591.0,93.90862944162437
6017.0,3.73000001907349,0.0,0.0,3.73000001907349,0.0,0.0,260.0,821.0,1576.0,1.0,506.0,531.0,95.29190207156309
6088.0,3.76999998092651,0.0,0.0,3.76999998092651,0.0,0.0,286.0,586.0,1593.0,1.0,508.0,545.0,93.21100917431193
6375.0,3.95000004768372,0.0,0.0,3.95000004768372,0.0,0.0,331.0,626.0,1649.0,1.0,513.0,545.0,94.12844036697248
